"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"14780",,"288","Micro","34,667","Brenham, TX",,"Houston-The Woodlands, TX"
"14820",,"120","Micro","33,291","Brevard, NC",,"Asheville-Marion-Brevard, NC"
"14860",,"408","Metro","947,328","Bridgeport-Stamford-Norwalk, CT",,"New York-Newark, NY-NJ-CT-PA"
"15020",,"298","Micro","34,542","Brookhaven, MS",,"Jackson-Vicksburg-Brookhaven, MS"
"15060",,,"Micro","22,377","Brookings, OR",,
"15100",,,"Micro","33,697","Brookings, SD",,
"15140",,"297","Micro","17,944","Brownsville, TN",,"Jackson-Brownsville, TN"
"15180",,"154","Metro","420,201","Brownsville-Harlingen, TX",,"Brownsville-Harlingen-Raymondville, TX"
"15220",,,"Micro","37,787","Brownwood, TX",,
"15260",,,"Metro","115,939","Brunswick, GA",,
"15340",,"360","Micro","42,231","Bucyrus-Galion, OH",,"Mansfield-Ashland-Bucyrus, OH"
"15380",,"160","Metro","1,136,670","Buffalo-Cheektowaga, NY",,"Buffalo-Cheektowaga-Olean, NY"
"15420",,,"Micro","43,920","Burley, ID",,
"15460",,"161","Micro","46,803","Burlington, IA-IL",,"Burlington-Fort Madison-Keokuk, IA-IL-MO"
"15500",,"268","Metro","157,844","Burlington, NC",,"Greensboro--Winston-Salem--High Point, NC"
"15540",,"162","Metro","216,751","Burlington-South Burlington, VT",,"Burlington-South Burlington-Barre, VT"
"15580",,,"Micro","34,514","Butte-Silver Bow, MT",,
"15620",,,"Micro","47,897","Cadillac, MI",,
"15660",,"174","Micro","56,424","Calhoun, GA",,"Chattanooga-Cleveland-Dalton, TN-GA"
"15680",,"548","Metro","110,979","California-Lexington Park, MD",,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"15700",,"480","Micro","32,386","Cambridge, MD",,"Salisbury-Cambridge, MD-DE"
"15740",,"198","Micro","39,414","Cambridge, OH",,"Columbus-Marion-Zanesville, OH"
"15780",,,"Micro","29,572","Camden, AR",,
"15820",,,"Micro","25,406","Campbellsville, KY",,
"15860",,"444","Micro","46,601","Cañon City, CO",,"Pueblo-Cañon City, CO"
"15940",,"184","Metro","402,098","Canton-Massillon, OH",,"Cleveland-Akron-Canton, OH"
"15980",,"163","Metro","700,165","Cape Coral-Fort Myers, FL",,"Cape Coral-Fort Myers-Naples, FL"
"16020",,"164","Metro","97,136","Cape Girardeau, MO-IL",,"Cape Girardeau-Sikeston, MO-IL"
"16060",,,"Metro","126,592","Carbondale-Marion, IL",,
"16100",,,"Micro","56,793","Carlsbad-Artesia, NM",,
"16140",,,"Micro","20,428","Carroll, IA",,
"16180",,"456","Metro","54,219","Carson City, NV",,"Reno-Carson City-Fernley, NV"
"16220",,,"Metro","81,023","Casper, WY",,
"16260",,,"Micro","48,504","Cedar City, UT",,
"16300",,"168","Metro","266,122","Cedar Rapids, IA",,"Cedar Rapids-Iowa City, IA"
"16340",,"122","Micro","41,444","Cedartown, GA",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"16380",,"338","Micro","40,723","Celina, OH",,"Lima-Van Wert-Celina, OH"
"16420",,,"Micro","31,153","Central City, KY",,
"16460",,"476","Micro","38,305","Centralia, IL",,"St. Louis-St. Charles-Farmington, MO-IL"
"16500",,"500","Micro","76,012","Centralia, WA",,"Seattle-Tacoma, WA"
"16540",,"548","Metro","153,003","Chambersburg-Waynesboro, PA",,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"16580",,,"Metro","237,849","Champaign-Urbana, IL",,
"16620",,"170","Metro","219,964","Charleston, WV",,"Charleston-Huntington-Ashland, WV-OH-KY"
"16660",,,"Micro","63,439","Charleston-Mattoon, IL",,
"16700",,,"Metro","744,195","Charleston-North Charleston, SC",,
"16740",,"172","Metro","2,427,024","Charlotte-Concord-Gastonia, NC-SC",,"Charlotte-Concord, NC-SC"
"16820",,,"Metro","228,825","Charlottesville, VA",,
"16860",,"174","Metro","548,359","Chattanooga, TN-GA",,"Chattanooga-Cleveland-Dalton, TN-GA"
"16940",,,"Metro","97,031","Cheyenne, WY",,
"16980","16984","176","Metro","9,549,229","Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL","Chicago-Naperville, IL-IN-WI"
"16980","20994","176","Metro","9,549,229","Chicago-Naperville-Elgin, IL-IN-WI","Elgin, IL","Chicago-Naperville, IL-IN-WI"
"16980","23844","176","Metro","9,549,229","Chicago-Naperville-Elgin, IL-IN-WI","Gary, IN","Chicago-Naperville, IL-IN-WI"
"16980","29404","176","Metro","9,549,229","Chicago-Naperville-Elgin, IL-IN-WI","Lake County-Kenosha County, IL-WI","Chicago-Naperville, IL-IN-WI"
"17020",,,"Metro","225,207","Chico, CA",,
"17060",,"198","Micro","77,125","Chillicothe, OH",,"Columbus-Marion-Zanesville, OH"
"17140",,"178","Metro","2,156,723","Cincinnati, OH-KY-IN",,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
"17220",,,"Micro","93,985","Clarksburg, WV",,
"17260",,,"Micro","24,296","Clarksdale, MS",,
"17300",,,"Metro","278,844","Clarksville, TN-KY",,
"17340",,,"Micro","64,095","Clearlake, CA",,
"17380",,"185","Micro","33,121","Cleveland, MS",,"Cleveland-Indianola, MS"
"17420",,"174","Metro","120,388","Cleveland, TN",,"Chattanooga-Cleveland-Dalton, TN-GA"
"17460",,"184","Metro","2,062,764","Cleveland-Elyria, OH",,"Cleveland-Akron-Canton, OH"
"17500",,"163","Micro","39,064","Clewiston, FL",,"Cape Coral-Fort Myers-Naples, FL"
"17540",,"209","Micro","47,587","Clinton, IA",,"Davenport-Moline, IA-IL"
"17580",,"188","Micro","50,283","Clovis, NM",,"Clovis-Portales, NM"
"17620",,"434","Micro","39,796","Coamo, PR",,"Ponce-Yauco-Coamo, PR"
"17640",,"490","Micro","29,239","Coco, PR",,"San Juan-Bayamón, PR"
